"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Liver glycogen phosphorylase","PYGL","P06737","CHEMBL2568","Enzyme","0.120225750913","2 /  1     "
"Beta amyloid A4 protein","APP","P05067","CHEMBL2487","Membrane receptor","0.120225750913","1 /  13     "
"Matrix metalloproteinase 9","MMP9","P14780","CHEMBL321","Protease","0.120225750913","0 /  6     "
"Aldose reductase","AKR1B1","P15121","CHEMBL1900","Enzyme","0.120225750913","5 /  25     "
"Aldo-keto reductase family 1 member B10","AKR1B10","O60218","CHEMBL5983","Enzyme","0.120225750913","1 /  18     "
"Matrix metalloproteinase 2","MMP2","P08253","CHEMBL333","Protease","0.120225750913","1 /  6     "
"Matrix metalloproteinase 12","MMP12","P39900","CHEMBL4393","Protease","0.120225750913","3 /  7     "
"Tyrosine-protein kinase FYN","FYN","P06241","CHEMBL1841","Kinase","0.120225750913","1 /  2     "
"Transthyretin","TTR","P02766","CHEMBL3194","Secreted protein","0.120225750913","1 /  3     "
"Matrix metalloproteinase 1","MMP1","P03956","CHEMBL332","Protease","0.120225750913","2 /  14     "
"Receptor protein-tyrosine kinase erbB-2","ERBB2","P04626","CHEMBL1824","Kinase","0.120225750913","0 /  1     "
"Epidermal growth factor receptor erbB1","EGFR","P00533","CHEMBL203","Kinase","0.120225750913","0 /  1     "
"Estrogen receptor alpha","ESR1","P03372","CHEMBL206","Nuclear receptor","0.120225750913","0 /  1     "
"Cyclooxygenase-1","PTGS1","P23219","CHEMBL221","Oxidoreductase","0.120225750913","0 /  6     "
"Norepinephrine transporter","SLC6A2","P23975","CHEMBL222","Electrochemical transporter","0.120225750913","0 /  1     "
"Tyrosine-protein kinase LCK","LCK","P06239","CHEMBL258","Kinase","0.120225750913","0 /  1     "
"MAP kinase ERK2","MAPK1","P28482","CHEMBL4040","Kinase","0.120225750913","0 /  1     "
"Aldo-keto-reductase family 1 member C3","AKR1C3","P42330","CHEMBL4681","Enzyme","0.120225750913","0 /  12     "
"Aldo-keto reductase family 1 member C4","AKR1C4","P17516","CHEMBL4999","Enzyme","0.120225750913","0 /  1     "
"Aldo-keto reductase family 1 member C2","AKR1C2","P52895","CHEMBL5847","Enzyme","0.120225750913","0 /  1     "
"Neuropilin-1","NRP1","O14786","CHEMBL5174","Secreted protein","0.0","3 /  0     "
"Protein kinase C delta   (by homology)","PRKCD","Q05655","CHEMBL2996","Kinase","0.0","0 /  17     "
"Carbonic anhydrase VII","CA7","P43166","CHEMBL2326","Lyase","0.0","2 /  25     "
"Carbonic anhydrase XII","CA12","O43570","CHEMBL3242","Lyase","0.0","33 /  32     "
"Carbonic anhydrase IV","CA4","P22748","CHEMBL3729","Lyase","0.0","4 /  13     "
"Carbonic anhydrase II","CA2","P00918","CHEMBL205","Lyase","0.0","42 /  22     "
"Monoglyceride lipase","MGLL","Q99685","CHEMBL4191","Enzyme","0.0","0 /  2     "
"Glutamate carboxypeptidase II","FOLH1","Q04609","CHEMBL1892","Protease","0.0","7 /  0     "
"Leukocyte elastase","ELANE","P08246","CHEMBL248","Protease","0.0","0 /  2     "
"Matrix metalloproteinase 13","MMP13","P45452","CHEMBL280","Protease","0.0","1 /  3     "
"Enteropeptidase","TMPRSS15","P98073","CHEMBL1741195","Protease","0.0","25 /  0     "
"Trypsin I","PRSS1","P07477","CHEMBL209","Protease","0.0","25 /  0     "
